m.03cfqmy	people.ethnicity.languages_spoken	m.02h40lc
m.01fkyj	people.deceased_person.place_of_burial	m.0156q
m.09c7w0	location.location.people_born_here	m.03mgvhk
m.06s_9lq	baseball.batting_statistics.season	m.02h7s2l
m.05b7q	location.location.adjoin_s	m.02xw90r
m.08p_p3	location.location.containedby	m.09c7w0
m.05b67nw	people.person.nationality	m.015fr
m.011jxp9m	people.person.place_of_birth	m.02jx1
m.0zcy05y	location.mailing_address.state_province_region	m.0g14f
m.0101hhrs	people.person.nationality	m.09c7w0
m.0h4nlr_	people.person.profession	m.02hrh1q
m.0cy7sj	film.film.country	m.03rk0
m.0vbmt	location.location.containedby	m.09c7w0
m.0txmnf8	music.track_contribution.role	m.0290ngj
m.03p7b5c	education.education.major_field_of_study	m.062z7
m.02fqwt	time.time_zone.locations_in_this_time_zone	m.0tdj8
g.1229bf19	film.film.country	m.0345h
m.01tnb8	people.person.nationality	m.09c7w0
m.0g4lhn	people.person.nationality	m.06bnz
m.0hgcwk8	location.mailing_address.state_province_region	m.07b_l
m.01c0kj	people.person.profession	m.02xhgwq
g.121bd1yg	film.film.country	m.0jgd
m.029yc6	people.person.nationality	m.07ssc
m.01ph_w	people.person.profession	m.018gz8
m.0gfg7qw	people.person.place_of_birth	m.07dfk
m.011kr_9_	music.track_contribution.role	m.013y1f
m.0vbk	location.location.contains	m.02r_2yt
m.06_5m4w	location.mailing_address.citytown	m.068p2
m.0110hkrm	people.person.place_of_birth	m.09c17
m.0b6k4_5	location.location.time_zones	m.02llzg
m.04n3vfs	people.person.nationality	m.09c7w0
m.0v5l4	location.location.containedby	m.049nq
m.0rh7f3l	people.person.profession	m.0dxtg
m.02xr_b	music.artist.origin	m.0f2tj
m.02cft	location.location.people_born_here	m.015kjg
m.07qtfn	people.person.nationality	m.07ssc
m.06_6fr1	location.location.containedby	m.0f2tj
m.02hcv8	time.time_zone.locations_in_this_time_zone	m.0494gz2
m.05v3_l	common.topic.notable_types	m.01xryvt
m.075y5y	people.person.profession	m.03jgz
m.0h2b7mz	people.person.profession	m.02hrh1q
m.0kf8b7p	people.person.nationality	m.027rn
m.02z0j	location.location.contains	m.0wfjmz2
m.04b384k	location.location.containedby	m.04tgp
m.0qc50jm	people.person.profession	m.0hpcdn2
m.06qd3	location.location.people_born_here	m.0nbf0hf
m.01166l6g	people.person.profession	m.09jwl
m.0d_ppd	location.location.time_zones	m.02k8gd
m.0wp_21y	people.person.profession	m.0dxtg
m.048wy22	location.location.containedby	m.0d0x8
m.03rt9	location.location.people_born_here	m.0gc6k3w
m.07s4f25	people.person.place_of_birth	m.0fnyc
m.05fcqj	location.location.containedby	m.03rk0
m.03_f0	music.composer.compositions	m.0_hr4j3
m.026_tdt	location.location.containedby	m.0rh6k
m.08569r	music.group_member.instruments_played	m.05148p4
m.0104yr26	base.schemastaging.athlete_salary.team	m.0jnq8
m.01wmgs	fictional_universe.fictional_character.parents	m.08zq62
m.0ghgjfk	film.film.genre	m.02822
m.0gc548x	people.person.profession	m.09l65
m.0pth	music.composer.compositions	m.0bs32nq
m.043jw8p	location.location.containedby	m.05sb1
m.0rh6k	book.book_subject.works	m.04t4bn_
m.01wxdmv	people.person.place_of_birth	m.013yq
m.0r0f7	location.location.people_born_here	m.05bw51n
m.08ny96s	film.film.genre	m.02822
m.0vpv640	people.person.nationality	m.077qn
m.0qzm7bt	people.person.profession	m.0dxtg
m.0r9h4xy	people.person.profession	m.01d_h8
m.09c7w0	location.location.people_born_here	m.0gdlgmt
m.01vvy	music.artist.track	m.0dxwnpd
m.059g4	location.location.contains	m.04fxfy
m.03g3w	book.book_subject.works	m.04w91h1
m.01mgdgm	music.artist.track_contributions	m.012d7cy4
m.05mc_b	people.person.place_of_birth	m.04llb
m.06pxw8r	baseball.batting_statistics.season	m.02h7s0d
m.01sb5r	music.artist.track	m.0dr5b3v
m.062vqlp	location.mailing_address.country	m.09c7w0
m.0yswgrt	people.person.place_of_birth	m.0f04v
m.0jxglh	people.person.nationality	m.03_3d
m.0gc0l_2	people.person.profession	m.02hrh1q
m.05n1yx	music.artist.genre	m.02lkt
m.04066mk	music.artist.genre	m.09qxq7
m.048wgct	location.location.containedby	m.0d0x8
m.04f_d	location.location.people_born_here	m.09v6jg7
m.07wbk	government.political_party.politicians_in_this_party	m.0gk8p4p
m.0dn2g7m	people.person.nationality	m.03_3d
m.0gzl3r	people.person.profession	m.025smyp
m.09sgczq	location.mailing_address.citytown	m.02cl1
m.03pnjs5	people.place_lived.location	m.0ggh3
m.0lq7v6f	people.person.nationality	m.05qhw
m.04j2nnx	film.film.genre	m.03k9fj
m.026t9cz	soccer.football_player.position_s	m.02sdk9v
m.0wfd4p6	location.location.containedby	m.01znc_
m.01yj2	location.location.people_born_here	m.0kc1_w4
m.0404vmx	people.person.nationality	m.09c7w0
m.0pqn5g9	location.mailing_address.state_province_region	m.06yxd
m.01vvblm	music.artist.genre	m.016clz
m.06zq9_b	people.person.nationality	m.0d0vqn
m.09c7w0	location.location.contains	m.0490xyl
m.06zt2pq	people.person.profession	m.0kyk
m.0cmyh6r	people.person.profession	m.01d_h8
m.0dc3h3	people.person.ethnicity	m.0222qb
m.06_kxw9	location.location.containedby	m.0fr0t
m.017kq	people.person.profession	m.0dz3r
m.0_v9j10	people.person.profession	m.0dxtg
m.02q6h5r	people.person.nationality	m.03rt9
m.0g57b0t	people.person.profession	m.01c72t
m.067yp6	location.location.containedby	m.05kr_
m.09s8n0s	location.mailing_address.state_province_region	m.01n7q
m.0vy1jbw	people.person.nationality	m.09c7w0
m.03mqvs	people.person.profession	m.0frz0
m.05f9nx9	people.person.religion	m.0blk0
m.015g7	location.location.people_born_here	m.03h111_
m.023hqw	people.person.profession	m.0d8qb
m.01b9db	common.topic.notable_types	m.0kpv1m
m.048xqy2	location.location.containedby	m.0d0x8
m.0w2_92r	people.person.nationality	m.0345h
m.08pj66	people.person.nationality	m.0d060g
m.03d5t2m	film.music_contributor.film	m.05spvb
m.03h64	media_common.netflix_genre.titles	m.03w96tf
m.0dh4_n	people.person.profession	m.02h6fbs
m.0chgr2	location.location.contains	m.02h06x
m.0gc13vs	people.person.place_of_birth	m.01f62
m.04q9dn6	basketball.basketball_player_stats.season	m.08030z
m.05tbn	location.location.contains	m.0zxrd
m.03lfz_w	government.political_party_tenure.politician	m.01_pdv
m.0nkb462	music.track_contribution.role	m.0342h
m.0nd8nyb	people.person.place_of_birth	m.0jbrr
m.0118ncr4	people.person.profession	m.05hj__k
m.06sqb4j	baseball.batting_statistics.team	m.051vz
m.02_l96	people.person.ethnicity	m.0x67
m.03h5843	location.location.containedby	m.09c7w0
m.083s51	people.person.nationality	m.05v10
m.0g1d_b	location.location.containedby	m.05qkp
m.08fm__	people.person.nationality	m.0k6nt
m.0d0x8	location.location.contains	m.048wgzy
m.05r06d	people.person.place_of_birth	m.0ftxw
m.01xn5n_	sports.sports_team.roster	m.0wfgxzd
m.0gr0yb	location.location.time_zones	m.02llzg
m.01vvy	music.artist.track	m.013b821
m.0ctw_b	location.location.people_born_here	m.0sh807z
m.0fh8qhf	music.track_contribution.role	m.05148p4
m.05sy23x	soccer.football_player.position_s	m.02nzb8
m.04b31t4	location.location.containedby	m.09c7w0
m.011023p7	people.person.profession	m.04l1gwb
m.06hzym	visual_art.visual_artist.associated_periods_or_movements	m.09s_zk
m.043mxr	location.location.containedby	m.0f485
m.0jmj7	sports.professional_sports_team.draft_picks	m.04mvscd
m.08j1lv	people.deceased_person.place_of_death	m.05qtj
m.02hcv8	time.time_zone.locations_in_this_time_zone	m.0_1gz
m.0drzzq	location.location.containedby	m.01bkb
m.09pg6r_	people.person.profession	m.04s2z
m.03gsrpr	people.person.nationality	m.03rt9
m.05n_v2q	people.person.place_of_birth	m.013yq
m.0k8kt9v	people.person.profession	m.01445t
m.0117tcrb	people.person.profession	m.09jwl
m.04csr96	people.person.place_of_birth	m.0psxp
m.05n9vzs	government.government_position_held.office_position_or_title	m.02_bcst
m.02llzg	time.time_zone.locations_in_this_time_zone	m.014qdp
m.0x2dhfy	location.mailing_address.country	m.09c7w0
m.02hcv8	time.time_zone.locations_in_this_time_zone	m.04c81kv
m.0f5r1x	location.location.containedby	m.03rk0
m.010q18rr	people.person.place_of_birth	m.052p7
m.077yk0	people.person.place_of_birth	m.052p7
m.0dhd5x6	location.mailing_address.citytown	m.03b12
m.09s0304	location.mailing_address.state_province_region	m.059rby
m.0pm3hq1	base.schemastaging.phone_sandbox.service_location	m.09c7w0
m.0dndn5	film.film.country	m.0d060g
m.01p4ys	music.artist.track_contributions	m.0ss2jlw
m.09c7w0	location.location.people_born_here	m.02pq9vd
m.0rqdn86	people.person.profession	m.09l65
m.05c2wjb	people.person.profession	m.0kyk
m.02cmcx	music.artist.genre	m.05lls
m.0dzt9	location.location.people_born_here	m.010ylgy0
m.01ljn2_	people.person.profession	m.09l65
m.0x11hf1	people.person.profession	m.02hrh1q
m.0kcg3mn	olympics.olympic_athlete_affiliation.country	m.0f8l9c
m.0chghy	book.book_subject.works	m.040682v
m.011lm71d	people.person.nationality	m.09c7w0
m.04m033	people.person.profession	m.0dxtg
m.03wdd33	film.film.country	m.07ssc
m.01lqqw8	people.person.profession	m.01c72t
m.0bqh48	music.artist.genre	m.02lkt
m.0bvtt8w	people.person.profession	m.0d1pc
m.03yjtcw	location.location.containedby	m.04ykg
g.11b6gh4c9j	location.location.containedby	m.03rjj
m.03d7rv_	people.person.nationality	m.05cgv
m.04p3c	location.location.people_born_here	m.0_rg599
m.0716tv	location.location.containedby	m.012wgb
m.06rp_22	baseball.batting_statistics.team	m.05kmkd0
m.0ndpw7l	people.person.profession	m.02h664g
m.03hny6q	location.location.containedby	m.0gyh
m.05f65xm	military.military_person.participated_in_conflicts	m.081pw
m.05mph	location.location.contains	m.0dqyj9
m.0w_j0qv	film.film.country	m.09c7w0
m.08btwx	location.location.contains	m.0f2r6
m.018rv0	book.author.book_editions_published	m.04v8vkj
m.0d8z2r	people.person.nationality	m.09c7w0
m.09vsgb	people.person.place_of_birth	m.01_d4
m.03_r3	location.location.people_born_here	m.0g9y54f
m.011m_mgx	people.person.profession	m.039v1
m.03rjj	location.location.contains	m.0gn1z4
m.0cbhfb	location.location.containedby	m.05kkh
m.0gbp9kb	people.person.nationality	m.0345h
m.0jt6fj7	people.person.nationality	m.09c7w0
m.010bss7d	film.film.genre	m.03k9fj
m.05zpzc0	people.person.place_of_birth	m.01cx_
m.0c1chd	people.person.profession	m.07lqg0
m.0b78v7	people.person.profession	m.02h665k
m.0v_r834	common.topic.notable_types	m.02k76m0
m.0493dzj	location.location.containedby	m.09c7w0
m.0bmhwn	meteorology.tropical_cyclone.affected_areas	m.03gyl
m.02hcv8	time.time_zone.locations_in_this_time_zone	m.04c2m5_
m.0g1m03	people.person.profession	m.0np9r
m.0k3nkf9	music.artist.origin	m.07dfk
m.0wff5_c	location.location.containedby	m.02_286
m.0j2sh12	base.schemastaging.athlete_salary.team	m.0x2p
m.010gj7x4	education.education.institution	m.02zd460
m.06mxs	location.location.people_born_here	m.0z7g4y4
m.064t9	media_common.netflix_genre.titles	m.0crw501
m.0jxr5t6	location.mailing_address.country	m.09c7w0
m.02qdznm	people.person.nationality	m.0345h
m.0j3082n	base.schemastaging.athlete_salary.team	m.01y3v
m.027c5_r	people.person.nationality	m.0d060g
m.0gllsp_	film.film.genre	m.02822
m.01plbcj	people.person.nationality	m.09c7w0
m.030qb3t	location.location.people_born_here	m.04lh0sj
m.081xj6	people.person.nationality	m.06qd3
m.09c7w0	location.location.contains	m.0smn6
m.0_gtn23	location.mailing_address.citytown	m.0d9jr
m.083k9x	people.person.profession	m.02hrh1q
m.0k_nlb	music.artist.genre	m.06by7
m.0489g61	location.location.containedby	m.09c7w0
m.01btyw	location.location.people_born_here	m.01261k4j
m.0hp75zn	people.person.profession	m.01d_h8
m.0gb2ch	location.location.time_zones	m.02llzg
m.0jsrpcg	location.mailing_address.citytown	m.0d9jr
m.027rhv8	people.person.nationality	m.09c7w0
m.0gg61rr	film.film.genre	m.02822
m.03h_fk5	film.person_or_entity_appearing_in_film.films	m.0ngrr1t
m.02qpm74	people.person.profession	m.01d_h8
m.0dpzxr	people.person.profession	m.0nbcg
m.07djfl	people.person.place_of_birth	m.0b90_r
m.0125p5dg	film.film.genre	m.02kdv5l
m.0cnn5w3	location.mailing_address.citytown	m.094jv
m.05f60wl	people.person.profession	m.02h664g
m.0h2bb5q	people.person.profession	m.0dxtg
m.0chghy	book.book_subject.works	m.090xbl
m.0cmyxg0	film.film.country	m.09c7w0
m.02rht0w	people.person.nationality	m.09c7w0
m.03v1s	location.location.contains	m.03hnt96
m.011v1wv5	people.person.profession	m.09jwl
m.0641s5y	base.culturalevent.event.entity_involved	m.07ssc
m.0gc_v7n	people.person.profession	m.02hrh1q
m.09c7w0	location.location.contains	m.0406j6p
m.0k05_ks	people.person.nationality	m.09c7w0
m.0gkt5x0	film.film.country	m.06qd3
m.0b79dp9	film.film.genre	m.0c3351
m.0ycn76w	people.person.profession	m.02hrh1q
m.01qh7	location.location.people_born_here	m.02rnvnz
m.0zbgf0l	base.schemastaging.athlete_salary.team	m.0jnmj
m.0n53rvt	people.deceased_person.place_of_burial	m.0156q
m.04b3lm9	location.location.containedby	m.04tgp
m.0xrhn	location.location.time_zones	m.02hcv8
m.01hp5	film.film.starring	m.0zb2qqf
m.01snm	location.location.contains	m.06j3c6
m.02z7njr	people.person.profession	m.01d_h8
m.0d5c6z	location.location.containedby	m.07ssc
m.0sk7hrp	music.track_contribution.role	m.04rzd
m.0yflwqt	people.person.profession	m.02hrh1q
m.09c7w0	location.location.contains	m.0t16t
m.0g5tl9y	people.person.profession	m.02hrh1q
m.0xqfjzv	music.track_contribution.role	m.0290ngj
m.06q6k_w	baseball.batting_statistics.team	m.01yjl
m.09c7w0	government.governmental_jurisdiction.governing_officials	m.04kqmx_
m.0bmssv	film.film.featured_film_locations	m.02_286
m.0qz92sl	base.schemastaging.phone_sandbox.service_location	m.04rrx
m.09c7w0	location.location.contains	m.048ny3h
m.04ykg	location.location.contains	m.0809d9l
m.0g2hyk	common.topic.notable_types	m.01xryvt
m.05yk4c	common.topic.notable_types	m.01xryvt
m.0gmd4rt	common.topic.notable_types	m.01xryvt
m.049chcs	location.location.containedby	m.09c7w0
m.0hznc6t	people.person.place_of_birth	m.01yc0s
m.04h_dbn	education.education.degree	m.07s6fsf
m.0gb04db	people.person.nationality	m.07ssc
m.05tbn	location.location.contains	m.0_cl1
m.0w3337m	sports.sports_team.location	m.082sy9
m.02pt3k1	people.person.nationality	m.09c7w0
m.010sn7	location.location.containedby	m.081yw
m.09k60fy	location.location.time_zones	m.0gsrsm
m.0cjf0yt	people.person.nationality	m.01mjq
m.04935bb	location.location.time_zones	m.02hcv8
m.0bvlprm	people.person.nationality	m.0f8l9c
m.059g4	location.location.contains	m.0w_g0sz
m.0882c9	common.topic.notable_types	m.01xryvt
m.0j_msvb	people.person.profession	m.01d_h8
m.086l9h	common.topic.notable_types	m.01xryvt
m.0gckj0y	people.person.nationality	m.09c7w0
m.05fjy	location.location.contains	m.04b9xv9
m.0k08951	people.person.nationality	m.02vzc
m.02z36s9	people.person.nationality	m.09c7w0
m.0f9t87	people.person.nationality	m.07twz
m.05pnb1	film.film_character.portrayed_in_films	m.0jrhb7b
m.0jsh3h5	people.person.place_of_birth	m.09pmkv
m.04806xr	location.location.containedby	m.0gyh
m.011lzrw5	people.deceased_person.cause_of_death	m.02qnd1b
m.07zvc0v	olympics.olympic_medal_honor.olympics	m.0jhn7
m.0clvmjj	location.location.containedby	m.09c7w0
m.0g4pv64	people.person.profession	m.03gjzk
m.026z73f	base.culturalevent.event.entity_involved	m.02jx1
m.03qmzpr	location.location.containedby	m.09c7w0
m.02hxnnd	language.human_language.main_country	m.05qkp
m.03bhwh	tv.tv_character.appeared_in_tv_program	m.0gxs98z
m.0zn02b8	people.person.profession	m.0fj9f
m.01w044x	people.person.profession	m.02hrh1q
m.0kpys	location.location.contains	m.064m_x5
m.012n8v6c	film.film.country	m.03rk0
m.04c2gfk	location.location.containedby	m.07z1m
m.09ky10r	baseball.lifetime_batting_statistics.last_statistics_season	m.02h7s8p
m.048qcm0	location.location.containedby	m.01n4w
m.0sllpm3	common.topic.notable_types	m.0kpv11
m.05t6z_	people.person.profession	m.09l65
m.011r00qf	film.film.genre	m.02822
m.0258zm	people.person.children	m.0nby5fx
m.0vbk	location.location.people_born_here	m.04d_f20
m.011jtv81	people.person.profession	m.02hrh1q
m.01054g	location.location.containedby	m.09c7w0
m.0cs76v0	film.film.country	m.09c7w0
m.0j_46rw	people.person.nationality	m.07twz
m.0crwy02	film.film.genre	m.02822
m.0hknf	location.location.people_born_here	m.04yrnn
m.09v7hvl	people.person.nationality	m.09c7w0
m.0tp9y	location.location.containedby	m.09c7w0
m.012vf2rs	music.track_contribution.role	m.0342h
m.0v3hb90	music.artist.genre	m.03_d0
m.012dw7s9	location.mailing_address.country	m.09c7w0
m.06dfr3	location.location.containedby	m.05tbn
m.011dkbwl	common.topic.notable_types	m.01xryvt
m.04n4ghb	people.person.place_of_birth	m.0fhzy
m.04hxdx6	education.education.institution	m.01cf5
m.04f6fp3	people.person.profession	m.02h6676
m.0sjwljn	music.track_contribution.role	m.0290ngj
m.03d3k7m	base.culturalevent.event.entity_involved	m.06bnz
m.04ltcz	film.film.country	m.09c7w0
m.0bm8k09	music.artist.genre	m.064t9
m.0bcs38	people.person.nationality	m.0jgd
m.03cxzh	education.educational_institution.colors	m.083jv
m.0cq230b	media_common.netflix_genre.titles	m.09tqkv2
m.064nrrs	soccer.football_player.position_s	m.02nzb8
m.0dglh1p	film.film.genre	m.082gq
m.02_286	location.location.people_born_here	m.0c_tlb
m.082t1y	people.deceased_person.place_of_death	m.0f2tj
m.0h7h6	location.location.events	m.0_9gw17
m.013337gp	people.person.place_of_birth	m.05k7sb
m.07t1kp4	people.person.place_of_birth	m.02jx1
m.02jx1	location.location.people_born_here	m.0ncnyfq
m.04mth5c	people.person.nationality	m.0154j
m.0chgzm	location.location.contains	m.07bqm6
m.064yrqw	location.mailing_address.state_province_region	m.0846v
m.026hrlr	people.person.profession	m.0fj9f
m.0m75g	location.location.people_born_here	m.0r8g01s
m.0nhsjnl	people.person.profession	m.09l65
m.048zs9l	education.education.institution	m.014zws
g.15dpdk83	film.film.country	m.0345h
m.0619p7	people.person.profession	m.0fj9f
m.06xyhl	people.person.profession	m.02hrh1q
m.07z1zw8	american_football.player_game_statistics.team	m.01ct6
m.0gm62bk	people.person.profession	m.02hrh1q
m.01vvy	music.artist.track	m.0g7d6sw
m.02814g0	geography.river.basin_countries	m.09c7w0
m.0mvxfpw	location.location.time_zones	m.02hcv8
m.09c7w0	location.location.people_born_here	m.0865s6
m.02z87y9	time.event.locations	m.03h64
m.02z0j	location.location.people_born_here	m.05ms7gh
m.08kcqd	location.location.containedby	m.0hzlz
m.012g2fx5	music.track_contribution.track	m.019db6x
m.04bb4gz	location.location.containedby	m.05fjy
m.03ks26	people.person.profession	m.0nbcg
m.0nhy111	people.person.profession	m.016z4k
m.0n64kft	music.group_membership.role	m.0290ngj
m.014qv7	music.composer.compositions	m.03cc0h3
m.026m_4l	film.film.country	m.09c7w0
m.02hczc	time.time_zone.locations_in_this_time_zone	m.0qqzm
m.048pmrj	location.location.containedby	m.09c7w0
m.0b4c_b3	people.person.profession	m.01d_h8
m.0bqmsl	people.person.place_of_birth	m.09c7w0
m.0v3hrpm	music.track_contribution.role	m.0l14md
m.0sl7mt0	music.track_contribution.role	m.013y1f
m.09ry0gr	location.location.containedby	m.0j95
m.02h251	people.deceased_person.place_of_death	m.01cx_
m.09gc6y5	people.person.nationality	m.09c7w0
m.06p5wnj	baseball.batting_statistics.team	m.01yjl
m.0150n	location.location.people_born_here	m.07f8sn
m.0k33p	base.aareas.schema.administrative_area.administrative_area_type	m.0hzjlqy
m.0404ywl	soccer.football_player.position_s	m.02nzb8
m.0f00l4	people.person.profession	m.0fj9f
m.04nt_6j	people.person.profession	m.02jknp
m.0114jz	location.location.containedby	m.0824r
m.06lc6d	location.location.containedby	m.0chgr2
m.011r0192	film.film.genre	m.03k9fj
m.05nb8_w	people.person.place_of_birth	m.07srw
m.06_gcx9	location.location.containedby	m.0gyh
m.0c0k1	people.person.nationality	m.09c7w0
m.01f62	location.location.people_born_here	m.0gm5r5d
m.02jx1	location.location.people_born_here	m.05c4lw
m.049c93j	location.location.containedby	m.094jv
m.09tjhfr	people.person.nationality	m.03rt9
m.0f9j33	people.person.nationality	m.09c7w0
m.0pqlt24	location.mailing_address.country	m.09c7w0
m.0qt92dt	people.person.profession	m.02hrh1q
m.0hyxv	location.location.people_born_here	m.01hzfy
m.015jr	location.location.contains	m.04wc6n
m.02rqvd5	common.topic.notable_types	m.01xryvt
m.0fbxdp	people.person.nationality	m.09c7w0
m.0c4fqcn	people.person.profession	m.03gjzk
m.0ppfv07	location.mailing_address.state_province_region	m.059rby
m.03cwnl6	people.person.profession	m.0n1h
m.04rrx	location.location.contains	m.0v2w0
m.0j439hj	people.person.nationality	m.09c7w0
m.0dlkq7f	people.person.profession	m.0n1h
m.0cbxcr	people.person.profession	m.02hrh1q
m.0_f5_	symbols.namesake.named_after	m.042f1
g.12389p57	people.person.profession	m.0dxtg
m.02pmqmh	people.person.profession	m.0cbd2
m.015sr4	location.location.containedby	m.04rrx
m.048whgt	location.location.containedby	m.09c7w0
m.04b23ft	location.location.containedby	m.04ych
m.010fypdz	education.education.degree	m.04zx3q1
m.05b2ty9	soccer.football_player.position_s	m.02sdk9v
m.0c6x2h	music.artist.genre	m.025sc50
m.010qdlf6	common.topic.notable_types	m.02h5h_t
m.0j_lc7_	people.person.nationality	m.088vb
m.0dz7h1	people.person.nationality	m.09c7w0
m.01pj7	location.location.contains	g.121__2v8
m.04lc5t	people.person.profession	m.0fj9f
m.0cs05r4	film.film.country	m.09c7w0
m.02fqwt	time.time_zone.locations_in_this_time_zone	m.0szqh
m.06s73j5	baseball.batting_statistics.team	m.049n7
m.0zbhqxc	award.award_category.winners	m.0zggw__
m.0495vz6	location.location.time_zones	m.02fqwt
m.05sxb2v	language.human_language.main_country	m.03shp
m.038gk2	time.event.locations	m.059j2
m.03ct2g0	music.artist.genre	m.05lls
m.029jpy	location.location.people_born_here	m.03qjhz8
m.07s62vn	people.person.nationality	m.09c7w0
m.0d7sfn	people.person.nationality	m.09c7w0
m.0nbdr66	people.person.profession	m.02hrh1q
m.0kf9_kw	people.person.profession	m.02jknp
m.02fqwt	time.time_zone.locations_in_this_time_zone	m.09v5ljz
m.09krkw8	baseball.lifetime_batting_statistics.last_statistics_season	m.02h7s57
m.01vw1tk	people.person.religion	m.0c8wxp
m.0k3f7r_	people.person.profession	m.02hrh1q
m.07ssc	location.location.contains	m.0bc_v9
m.02r0qjp	people.person.place_of_birth	m.02_286
m.0w1tfff	people.person.profession	m.02jknp
m.02rmj_8	people.person.nationality	m.09c7w0
m.04j2zzw	film.film.country	m.03_3d
m.0fljp	location.location.people_born_here	m.0ff2k
m.0g9_vkr	common.topic.notable_types	m.01xryvt
m.016tw3	film.production_company.films	m.020bv3
m.02c_mv	people.person.profession	m.0jgxn
m.0y1rf	location.location.people_born_here	m.0j_nlj8
m.0bg902j	film.film.country	m.082fr
m.01t_53t	people.person.profession	m.09l65
g.11b6g8g91k	location.location.containedby	m.0c61p
m.02llzg	time.time_zone.locations_in_this_time_zone	m.02q5kxh
m.08k2mq	geography.island.body_of_water	m.05rgl
m.08gwkn	film.film.genre	m.03k9fj
m.0j9bmmw	people.person.profession	m.02hrh1q
m.0dff7s	location.location.containedby	m.05nrg
m.0136_60g	film.film.country	m.0f8l9c
m.09c7w0	location.location.contains	m.04c7fsv
m.09k6j_9	education.educational_institution.colors	m.01g5v
m.03m8g9b	people.deceased_person.place_of_death	m.04jpl
m.010gsdm5	film.film.genre	m.02822
m.01rcxvg	music.group_member.instruments_played	m.05148p4
m.025xm2d	people.person.nationality	m.06t2t
m.0cf_gl	common.topic.notable_types	m.02_77lg
m.04b7g30	location.location.containedby	m.025rst1
m.0k8jjc5	olympics.olympic_athlete_affiliation.sport	m.0bynt
m.04d2h0m	people.person.profession	m.02hrh1q
m.01nmw0	people.person.profession	m.0fj9f
m.0pxv_y9	people.person.profession	m.02jknp
