relation: people.ethnicity.languages_spoken, KHs: 1.0
relation: people.ethnicity.geographic_distribution, KHs: 1.0
relation: military.military_command.military_combatant, KHs: 1.0
relation: base.popstra.celebrity.infidelity_perpetrator, KHs: 1.0
relation: baseball.baseball_team.team_stats, KHs: 1.0
relation: tv.tv_actor.starring_roles, KHs: 1.0
relation: tennis.tennis_tournament_champion.tennis_titles, KHs: 1.0
relation: american_football.football_player.games, KHs: 1.0
relation: location.location.partially_contained_by, KHs: 1.0
relation: american_football.football_team.current_head_coach, KHs: 1.0
relation: award.award_winner.awards_won, KHs: 1.0
relation: sports.sports_team.arena_stadium, KHs: 1.0
relation: location.hud_county_place.place, KHs: 0.0
relation: computer.software.languages_used, KHs: 1.0
relation: architecture.architect.structures_designed, KHs: 1.0
relation: base.schemastaging.organization_extra.phone_number, KHs: 1.0
relation: biology.animal_breed.breed_of, KHs: 1.0
relation: base.biblioness.bibs_location.state, KHs: 1.0
relation: base.schemastaging.phone_sandbox.product_or_service, KHs: 1.0
relation: celebrities.romantic_relationship.celebrity, KHs: 1.0
relation: military.military_conflict.combatants, KHs: 1.0
relation: baseball.baseball_player.batting_stats, KHs: 1.0
relation: location.country.currency_used, KHs: 1.0
relation: government.election.winner, KHs: 1.0
relation: government.political_appointer.appointees, KHs: 1.0
relation: finance.currency.countries_used, KHs: 1.0
relation: base.crime.acquitted_person.acquittal, KHs: 1.0
relation: tv.tv_character.appeared_in_tv_episodes, KHs: 1.0
relation: sports.sports_team.league, KHs: 1.0
relation: music.group_membership.member, KHs: 1.0
relation: sports.sports_league_participation.league, KHs: 1.0
relation: location.administrative_division.first_level_division_of, KHs: 1.0
relation: people.family.members, KHs: 1.0
relation: people.appointment.appointed_by, KHs: 1.0
relation: organization.organization_membership.member, KHs: 1.0
relation: user.ktrueman.default_domain.international_organization.official_language_s, KHs: 1.0
relation: military.military_commander.military_commands, KHs: 1.0
relation: business.sponsored_recipient.sponsorship, KHs: 1.0
relation: location.statistical_region.religions, KHs: 1.0
relation: language.human_language.writing_system, KHs: 1.0
relation: sports.sports_league.teams, KHs: 1.0
relation: user.dylanrocks.national_football_league.nfl_teams_that_have_moved_cities.original_city, KHs: 1.0
relation: aviation.airport.hub_for, KHs: 1.0
relation: architecture.building.building_function, KHs: 1.0
relation: military.military_combatant.force_deployments, KHs: 1.0
relation: organization.organization_member.member_of, KHs: 1.0
relation: american_football.football_player.rushing, KHs: 1.0
relation: government.politician.election_campaigns, KHs: 1.0
relation: base.locations.continents.countries_within, KHs: 1.0
relation: organization.organization_relationship.child, KHs: 1.0
relation: tv.regular_tv_appearance.actor, KHs: 1.0
